Labelled Tweet,,,,,
,,,,,
ID,Timestamp,Tweet,Keluhan,Bukan Keluhan/Respon,Dinas
6.79E+17,"21 Des 2015, 06:26:21 PM","Setuju ini, sepanjang jl riau banyak yg parkir. Malah ada yg di trotoar juga :(( @ridwankamil  https://t.co/aNqS5ONcZi",Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 06:28:48 PM",@pjudbmpbdg ass pak kiaracondong masih bnyk lampu jalan yg mati bbk sari.1mohon di perbaiki @Kec_Kircon @Kel_BabakanSari @ridwankamil,Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 06:40:33 PM",Pak wali upami angkot di bandung kumaha nasibna? Di jakarta metromini tos jadi korban @ridwankamil,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 06:47:35 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 07:01:41 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:07:26 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 07:10:23 PM","RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…",Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 07:31:31 PM","#WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.co/hQC2JeKtnm",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:31:54 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:32:23 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:36:09 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:36:42 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:37:23 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:42:35 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:46:13 PM",@ridwankamil anak kecil ajah jalan2 pke helm masa yang naik motor engga ?!!! :) eta maksad na mah panginteun pakk,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:50:00 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:53:16 PM",@ridwankamil lieur lah kang ningali nu meuntas di bip padahal jambatan ngajegir mani gede jeung mani hese hoyong mapah di trotoar di bec teh,Ya,,Lain-Lain
6.79E+17,"21 Des 2015, 07:53:35 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:59:14 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan pengerukan saluran jl Sukawarna Br https:…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:59:17 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, lanjutan perbaikan jl dr eyckman https://t.co/xrdK…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:59:19 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:59:24 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Tegallega, pemasangan plat beton saluran jl Moch Toha https://…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:59:25 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Ujungberung,  pengerukan saluran jl Golf Selatan I https://t.c…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:59:48 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Gedebage,  pengerukan saluran jl Sukarno Hatta https://t.co/bN…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 07:59:50 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying,  pengerukan saluran jl Veteran - jl Sunda https://…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 08:00:03 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Cibeunying, lanjutan prbaikan kirmir sal jl Gudang Utara https…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 08:00:04 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara,  pengangkutan sendimen jl Sukawarna Baru https://t…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 08:06:07 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, pemasangan ubin difabel jl Cicendo https://t.co/Tg…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 08:14:53 PM","RT @PRFMnews: cc @distarcipBDG  RT  @saudarasanusi Penyangga gedung ini mengkhawatirkan deh pak @ridwankamil,takut roboh https://t.co/ILPnY…",Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 08:30:25 PM","@dbmpkotabdg lampu penerangan jalan di sepanjang jalan bima kel.arjuna kec.cicendo mati, hawatir rawan. Hatur nuhun https://t.co/5CkCjc9CUW",Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 08:30:55 PM","RT @se_bdg: #WartaBDG Lebih tegas, @dishub_kotabdg Evaluasi Sistem Gembok Parkir https://t.co/F9vGwDxZFm @IWGinting @ridwankamil https://t.…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 08:58:52 PM","Kirmir kali cicadas rw13 kel bbksurabaya longsor, mhn bantuan @dbmpkotabdg cc @ridwankamil @OdedMD @yossiirianto https://t.co/Q1ilQH9uLP",Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 09:19:52 PM",@dbmpkotabdg  Hatur nuhun URC Gedebage atas pengerukan Saluran Merkuri Kel. Manjahlega https://t.co/FBwSrKhJwu,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 09:27:20 PM",Tiap hari lewat bolak balik pa @ridwankamil uang habis buat bayar jalan aja ini mah ???????? ga ada cara lain ? https://t.co/fydVITBqVv,Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 09:33:18 PM","ayo pesan sendal bulunya..all size IDR 30K, hangat &amp; nyaman di kaki @ridwankamil @infobdg @PRFMnews @MemeComicIndo https://t.co/iaX1cMqxdG",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 09:43:14 PM",Tikungan dari  jl wastu kencana belok ke arah gd pakuan. @infobandung @dbmpkotabdg @galamedianews @PRFMnews https://t.co/48Bm45CoTQ,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 09:47:21 PM",Bpk @ridwankamil dompet sy dcopet d angkot cheum-ldng pk ??. spt.a copet.a bkrjasama sm spr agkt.a pak. Skg sy jd wanita tnp identitas pak??,Ya,,Dinas Sosial
6.79E+17,"21 Des 2015, 09:47:58 PM","@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk1d",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 09:48:48 PM","@ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Rumah Sakit https://t.co/jHrc2WSiNW",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 09:55:45 PM","jln jend sudirman dkt suryani ad cafe, mbl parkir dijln n naek trotoar pdhl ad rambu dilrng parkir @dbmpkotabdg @dishub_kotabdg @ridwankamil",Ya,,Dinas Perhubungan
6.79E+17,"21 Des 2015, 10:08:18 PM",CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan https://t.co/awjVJYCAGZ,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 10:11:54 PM",RT @Rescue_Damkar: CC @dbmpkotabdg @infobandung: Hati-hati tweeps. RT @jurnalbdg Tikungan dari jl wastu kencana belok ke arah gd pakuan htt…,,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 10:18:28 PM","@pdamtirtawening : Dari nmr pelanggan 00A06600370, Margahayu Raya J-II-37, mohon info sudah beberapa hari air tidak keluar.",Ya,,Dinas Bina Marga dan Pengairan
6.79E+17,"21 Des 2015, 10:25:55 PM",Lapor pak @ridwankamil kmaren malem 20desember temen saya kena bacok oleh 7motor di jl lodaya(lapangan soft ball) https://t.co/UTfZOk3ThE,Ya,,Dinas Sosial
6.79E+17,"21 Des 2015, 10:45:52 PM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, tindaklanjut lap gundukan pasir jl dr Otten https:…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 10:47:56 PM","RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…",Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 10:50:01 PM","RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…",Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"21 Des 2015, 10:50:09 PM","RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 11:06:32 PM","Kang @ridwankamil , hatur nuhun ya jalur lalin Cipaganti dicat. Skr jd enak klo dinas malem (jalannya lbh jelas krn mencrang jalur lalinnya)",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 11:07:14 PM","RT @pdkebersihanbdg: Di informsikn kpd wargi Bandung atas ktrlambatan pengngktan sampah diTPS, krn jln ke arah TPA mcet cc: @ridwankamil ht…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 11:07:24 PM","RT @pdkebersihanbdg: Seperti inilah kondisi jl menuju Tpa, mohon maaf atas kenyamanannya @diasudiana @giwanghimawan1 @ridwankamil https://t…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 11:15:07 PM","RT @MojangPolppBDG: (15/12) Giat penjangkauan PMKS Jl. Peta, perempatan Kopo. Oleh Tranmas Rukendi &amp; URC. Pukul 10.30. @Satpolppbdg https:/…",,Ya,bukan keluhan
6.79E+17,"21 Des 2015, 11:47:29 PM","RT @TadjiUINBdg: @ridwankamil lapor pak, mobil ni 2x buang sampah ke pinggir jalan sepanjang jalan sersan bajuri no. 24 https://t.co/t9NHcX…",Ya,,Lain-Lain
6.79E+17,"22 Des 2015, 05:49:48 AM",@PRFMnews @infobandung  @pdamtirtawening  knpa air pdam di daerah tubagus ismail depan rt05 rw08 tidak menggalir dah 2 minggu,Ya,,Dinas Bina Marga dan Pengairan
6.79E+17,"22 Des 2015, 05:55:34 AM","RT @toekang_sate: Pak @ridwankamil iyeu jalmi anu ngabalaan jalan di kota Bandung,ngabagikeun pamplet tapi di awur2 di jalan. https://t.co/…",Ya,,Lain-Lain
6.79E+17,"22 Des 2015, 06:09:53 AM",Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @OdedMD @marcommpr,Ya,,Dinas Bina Marga dan Pengairan
6.79E+17,"22 Des 2015, 06:10:50 AM","@pdkebersihanbdg di Pasar Suci, baru masuk udah disambut bak sampah gede. Masa hal kaya gini ga kepikiran ngeganggu atau ngga?? @ridwankamil",Ya,,Lain-Lain
6.79E+17,"22 Des 2015, 06:11:32 AM",RT @ahmad_chm: Apa kabar @pdamtirtawening? Airnya ngalir k mana ya? Di RW 11 @Kel_Cicaheum teu aya bae. @ridwankamil @PRFMnews @se_bdg @Ode…,Ya,,Dinas Bina Marga dan Pengairan
6.79E+17,"22 Des 2015, 06:50:28 AM",@ridwankamil pak program pembangunan untuk Bandung Timur ditahun 2016 ada apa saja ?  :),,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 07:32:13 AM",tetapi hari ini masih boleh akan terjadi pada hari esok. @Bandung_Dinkes,,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 07:54:21 AM",@pdamtirtawening nuhun tos ngocor meski cuma malam yg punya air,,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:09 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu hight mast tegallega https://t.co/LAbD1pe…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:12 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Geusan Ulun https://t.co/lO3ww6TNd8",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:16 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Ir H Djuanda https://t.co/QQe1womk…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:34 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Jamika https://t.co/jMPcrpU8l6",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:40 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Sukarno Hatta https://t.co/VdDtdCY…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:43 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl Rumah Sakit https://t.co/jHrc2WSiNW",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:55 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu hight mast jl Jend Sudirman https://t.co/…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:01:58 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC PJU, perbaikan lampu PJU jl LLRE Martadinata (jl Riau) https:/…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:02:04 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 21/12 URC Bojonagara, tindaklanjut lap gundukan pasir jl dr Otten https:…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:13:48 AM","Pohon terbelah vertikal dpn rmh jl. Pratista raya 30,Antapani. Mohon bantuan @diskamtam utk mengamankan. https://t.co/mbdzSG09Uk",Ya,,Dinas Pemakaman dan Pertamanan
6.79E+17,"22 Des 2015, 08:14:05 AM",@dbmpkotabdg @DiskominfoBdg @ridwankamil @OdedMD @yossiirianto Jl. BKR juga donk sklian hmpir padam smua stiap mlm sgt membahayakan!!,Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"22 Des 2015, 08:17:18 AM","@ridwankamil lapor, asal listrik 3394, beli yg 100rb. Nambah nya jd 9695, jd hrg listrik brp? 100rb kok dpet 6304 pulsanya....kmh Pak?",Ya,,Lain-Lain
6.79E+17,"22 Des 2015, 08:30:00 AM","@dbmpkotabdg selamat pagi, maaf mau tanya NPWP BBMP kota bandung berapa ya? untuk membuat EFaktur untuk pekerjaan di DBMP kota bandung trims",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:30:25 AM","@ridwankamil @nofidiekaputera @onisumardjono1Gober Kb Jrk siap tmpur mnghlau sgl bntk smpah ,Mlya skl pek. Nda. Trim https://t.co/N1CwapwjJd",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:35:59 AM",RT @nurah_nurjannah: Pak @ridwankamil saya mau tanya naha bikin ktp jang adi sya jeung surat kematian teth sya kdu pake pajak bumi sagala??…,,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 08:49:18 AM",@dbmpkotabdg  pak @ridwankamil   pak sy udah lapor hampir 1 bln tp tidak ada tindakannya  pju di jln cipamokolan depan TB Saluyu  mati,Ya,,Dinas Tata Ruang dan Ciptakarya
6.79E+17,"22 Des 2015, 09:04:27 AM","RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 09:07:26 AM","RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 09:07:48 AM","RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 09:07:48 AM","RT @pdkebersihanbdg: Petugas membersihkan tumpukan smpah di Jl. Tamansari, mari disiplin dgn menjga lingkungan tetap bersih @ridwankamil ht…",,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 10:06:26 AM",@ridwankamil pak orang stress ini meresahkan suka lempar benda ke jalan lokasi:pasteur sebrang hotel aston @infobdg https://t.co/IdBqdpFrhK,Ya,,Lain-Lain
6.79E+17,"22 Des 2015, 10:12:18 AM",Guntoro : Pembangunan Fly Over di Bandung Ditarget 2016 https://t.co/CSW7XCcYf5 @infobdg @infobandung @ridwankamil @dbmpkotabdg @aheryawan,,Ya,bukan keluhan
6.79E+17,"22 Des 2015, 10:13:01 AM",@infobdg @ridwankamil pak mhn tndkan'y ats prkir liar d jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti https://t.co/loLzvSZ3lg,Ya,,Dinas Perhubungan
6.79E+17,"22 Des 2015, 10:22:42 AM",#suaraBDG via @RikyThemest : parkir liar di jl pasirkaliki ada petugas brjaga pun tdk d tndak lnjuti cc @ridwankamil https://t.co/1nfgTCIChc,Ya,,Dinas Perhubungan
