Labelled Tweet,,,,,,,,
,,,,,,,,
ID,Timestamp,Tweet,Keluhan,Bukan Keluhan/Respon,Topik Umum,Topik Spesifik,Lokasi,Waktu 
6.91E+17,"23 Jan 2016, 08:06:36 AM",RT @sekonugroho: Kang @ridwankamil sy prihatin pagi ini Jl.Ganesha bnyk tempelan paku di pohon jelang @Kongres9IAITB  #SaveTheTrees https:/É,Ya,,lingkungan hidup,pohon dipaku,-,-
6.91E+17,"23 Jan 2016, 08:15:01 AM","@ridwankamil Dia real madrid saya barcelona, kemaren dia married.. lah ko saya masih merana ?? #RidwanKamil",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 08:20:30 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,Jalan Sudirman ,-
6.91E+17,"23 Jan 2016, 08:24:18 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 13/1 URC Cibeunying, lanjutan perbaikan kirmir salrn jl Cihampelas httpsÉ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 08:26:15 AM",RT @sekonugroho: Kang @ridwankamil sy prihatin pagi ini Jl.Ganesha bnyk tempelan paku di pohon jelang @Kongres9IAITB  #SaveTheTrees https:/É,Ya,,lingkungan hidup,pohon dipaku,-,-
6.91E+17,"23 Jan 2016, 08:26:23 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 22/1 Bojonagara, lanjutan pengerukan saluran jl Geger Kalong Hilir httpsÉ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 08:29:48 AM","RT @dbmpkotabdg: @ridwankamil @OdedMD @yossiirianto @DiskominfoBdg 22/1 Bojonagara, lanjutan pengerukan saluran jl Geger Kalong Hilir httpsÉ",,Ya,bukan keluhan,bukan keluhan,Jalan Bunisari ,-
6.91E+17,"23 Jan 2016, 08:34:57 AM","RT @Kec_Sukajadi: PKL tidak berjualan sabtu, minggu di jl sukajadi @ridwankamil @OdedMD @yossiirianto  @bplh_kotabdg @Satpolppbdg https://tÉ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 08:37:16 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 08:43:27 AM","Untung sudah lulus pa ,dulu sering pa wkwkwkw@ridwankamil: Barudak bandung nu sok mabal sakola",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 08:51:06 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,Jalan Rangkasbitung,dua minggu 
6.91E+17,"23 Jan 2016, 09:05:18 AM",RT @Satpolppbdg: Penghimbauan &amp; penertiban pedagang di trotoar sepanjang Dago &amp; Riau oleh Polpp Muda cc @ridwankamil @DiskominfoBdg https:/É,,Ya,bukan keluhan,bukan keluhan,Jalan Rangkasbitung,dua minggu 
6.91E+17,"23 Jan 2016, 09:44:10 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,Jalan Sudirman ,-
6.91E+17,"23 Jan 2016, 09:48:57 AM","Kang @ridwankamil kalau syarat2 pembuatan SKU apa saja, saya di kelurahan cipamokolan... Mohon info nya kang...",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 09:49:50 AM","@ridwankamil pa ridwan... kalo jl soekarno termasuk zona merah bkn? kalo YA zona merah, kenapa bisa dipake berjualan? itu yg pake tenda",Ya,,k3 (ketertiban; kebersihan; keindahan),pkl,-,-
6.91E+17,"23 Jan 2016, 10:20:34 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,Jalan Rumah Sakit Gedebage,-
6.91E+17,"23 Jan 2016, 10:28:13 AM",@ridwankamil apakah petugas gorong2 masih aktif? Sudah tiga bulan berturut RT @Knyengseret @Kec_Astanaanyar minta sumbangan bebersih gorong2,,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 10:31:11 AM",RT @hero_bandung: Sepakat yuk gak buang sampah kejalan raya. Caranya ; sediakan tempat sampah di kendaraan anda. @Satpolppbdg @infobdg httpÉ,,Ya,bukan keluhan,bukan keluhan,Cinunuk sampai ke Ciburu ,-
6.91E+17,"23 Jan 2016, 11:02:15 AM",tetapi hari ini masih boleh akan terjadi pada hari esok. @Bandung_Dinkes,,Ya,bukan keluhan,bukan keluhan,Jalan Sudirman ,-
6.91E+17,"23 Jan 2016, 11:46:48 AM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,Jalan Rumah Sakit Gedebage,-
6.91E+17,"23 Jan 2016, 11:56:23 AM","Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://t.co/HfivNM3W71""",,Ya,bukan keluhan,bukan keluhan,Cinunuk sampai ke Ciburu ,-
6.91E+17,"23 Jan 2016, 11:57:44 AM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,Jalan Sudirman ,-
6.91E+17,"23 Jan 2016, 11:58:52 AM",.@pdamtirtawening RT @Jme_Zack: Sdh hampir 6 bln air Ledeng di kel : neglasari cibeunying kaler padam. Warga RT 4/4 beli air ke hotel park,Ya,,pengelolaan air & sumber daya alam,air tidak mengalir,-,-
6.91E+17,"23 Jan 2016, 12:03:07 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,Gedebage,-
6.91E+17,"23 Jan 2016, 12:03:17 PM",Mohon bantuan @dbmpkotabdg @dishub_kotabdg u/ memperpanjang median pembatas jalan didekat perlintasan KA Cikudapateh https://t.co/64Kk6tHsuP,,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 12:06:30 PM",RT @infobandung: .@pdamtirtawening RT @Jme_Zack: Sdh hampir 6 bln air Ledeng di kel : neglasari cibeunying kaler padam. Warga RT 4/4 beli aÉ,Ya,,pengelolaan air & sumber daya alam,air tidak mengalir,-,-
6.91E+17,"23 Jan 2016, 12:07:26 PM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,Gedebage,-
6.91E+17,"23 Jan 2016, 12:10:19 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 12:15:48 PM",RT @infobandung: .@pdamtirtawening RT @Jme_Zack: Sdh hampir 6 bln air Ledeng di kel : neglasari cibeunying kaler padam. Warga RT 4/4 beli aÉ,Ya,,pengelolaan air & sumber daya alam,air tidak mengalir,-,-
6.91E+17,"23 Jan 2016, 12:25:11 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,Jalan Naripan ,-
6.91E+17,"23 Jan 2016, 12:26:51 PM","@pdkebersihanbdg @ridwankamil @rancasari_OK katanya bukan wilayah pembuangan sampah daerah kami,  jadinya kami harus menunggu petugas ambil",Ya,,pengelolaan sampah,truk / angkutan / gerobak sampah,-,-
6.91E+17,"23 Jan 2016, 12:33:16 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 12:36:39 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 12:38:49 PM",Kembali ditindak Parkir di atas Trotoar jl.RE.Martadinata Sabtu 23.01.2016 @ridwankamil https://t.co/GC8MY0Jgdj,,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 12:40:34 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 12:48:05 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,Jalan Cihapit depan RM. Gudeg Banda,-
6.91E+17,"23 Jan 2016, 12:50:34 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 01:05:15 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 01:15:20 PM",Berapa persen hutan lindung di Jabar yg harus dibabat utk proyek kereta cepat ini kang @aheryawan @jokowi @ridwankamil ? :(,,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 01:21:29 PM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 01:23:50 PM","@ridwankamil boss, di Bandung sekarang di mana2 orang bangun pada melanggar GSB, apa ga bisa dibongkar? Kurang pengawasan gitu?",Ya,,perijinan,pelanggaran imb ,Jalan Sudirman ,21-1-2016
6.91E+17,"23 Jan 2016, 01:30:53 PM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 01:37:19 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 01:41:11 PM","Dulu trek balap liar banyak,ada trek khusus vespa,slalom dan motor2 bebek,tolong di legal kan pak @ridwankamil karna org2 bandung kreatif",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 01:59:52 PM","@ridwankamil pagi, siang, sore selalu macet dimulai dari keluar arcamanik hingga terusan jalan jakarta rentetan macet nya gk berhenti2 (2)",Ya,,perhubungan,kemacetan,depan Lucky Square,-
6.91E+17,"23 Jan 2016, 02:00:48 PM","@ridwankamil kendaraan umum, kendaraan pribadi, ojeg konvensional semua metode transportasi yg ada gk menjawab permasalahan macet ini pak(3)",Ya,,perhubungan,kemacetan,-,-
6.91E+17,"23 Jan 2016, 02:05:47 PM",Halte GOR Pajajaran knp ada petak u. parkir mobil?@dishub_kotabdg  @ridwankamil  @relawan_bdg  @dbmpkotabdg https://t.co/sCTzm2l88j,,Ya,bukan keluhan,bukan keluhan,Jalan Gudang Utara,-
6.91E+17,"23 Jan 2016, 02:16:53 PM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 02:19:52 PM",RT @diantn: Halte GOR Pajajaran knp ada petak u. parkir mobil?@dishub_kotabdg  @ridwankamil  @relawan_bdg  @dbmpkotabdg https://t.co/sCTzm2É,,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 02:21:06 PM",pak @ridwankamil tolong di tindak angkot jurusan cicahem -cileunyi angkosnya sampe 10000 sy mengalaminya.,Ya,,perhubungan,biaya angkutan,Jalan Surya Sumantri ,-
6.91E+17,"23 Jan 2016, 02:25:11 PM","2) htur nhun ka @Satpolppbdg tguran na.Asli 2jam rehat ddnya teu ningal aya aturan dlarang mrokok di area taman"". Hmpura kang @ridwankamil""",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 02:30:18 PM",@info_jktmacet @rezaorlando @ridwankamil solusinya mau di bangun flyover cc @dbmpkotabdg,,Ya,bukan keluhan,bukan keluhan,Jalan Pungkur depan Gang Ijan dan simpang Pungkur-Otista,-
6.91E+17,"23 Jan 2016, 02:57:26 PM",RT @diantn: Halte GOR Pajajaran knp ada petak u. parkir mobil?@dishub_kotabdg  @ridwankamil  @relawan_bdg  @dbmpkotabdg https://t.co/sCTzm2É,,Ya,bukan keluhan,bukan keluhan,Jalan Otista setelah simpang Otista-Pungkur,-
6.91E+17,"23 Jan 2016, 03:05:33 PM","@dbmpkotabdg @diasudiana @ridwankamil mohon maaf sebelumnya, apakah dengan adanya FO akan mengatasi solusi kemacetan atau bahkan jadi(1)",,Ya,bukan keluhan,bukan keluhan,Jalan Ciguriang,-
6.91E+17,"23 Jan 2016, 03:06:11 PM","@dbmpkotabdg @diasudiana @ridwankamil lebih memperparah keadaan, melihat kontur dan struktur jalanan yg terbilang sempit/kecil (2)",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 03:10:21 PM","RT @Kec_Sukajadi: PKL tidak berjualan sabtu, minggu di jl sukajadi @ridwankamil @OdedMD @yossiirianto  @bplh_kotabdg @Satpolppbdg https://tÉ",,Ya,bukan keluhan,bukan keluhan,pertigaan Pelajar Pejuang-Talagabodas,-
6.91E+17,"23 Jan 2016, 03:22:05 PM","@ridwankamil @OdedMD @dbmpkotabdg @DiskominfoBdg ,jln Bubat dan lok RW02 banyak sal tersumbat 22/1krn hjn https://t.co/45v17PE9Aa",Ya,,infrastruktur,drainase / gorong - gorong,-,-
6.91E+17,"23 Jan 2016, 03:24:51 PM","RT @LIESDEWI60: @ridwankamil @OdedMD @dbmpkotabdg @DiskominfoBdg ,jln Bubat dan lok RW02 banyak sal tersumbat 22/1krn hjn https://t.co/45v1É",Ya,,infrastruktur,drainase / gorong - gorong,-,-
6.91E+17,"23 Jan 2016, 03:30:45 PM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 03:31:16 PM","pak @ridwankamil gmn ttg pembangunan apartemen rakyat, katanya bulan desember akan ada kabar, sekarang sudah masuk januari. trims ya pak :)",,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 03:50:11 PM",Arti pemasangan water barrier ini di alun2 adalah DILARANG PARKIR. Ayo ditaati @ridwankamil @PRFMnews @relawan_bdg https://t.co/eLS0a6ptSR,,Ya,bukan keluhan,bukan keluhan,-,-
6.91E+17,"23 Jan 2016, 03:51:58 PM","Pak @ridwankamil kapan pelebaran jln derwati sampai buahbatu,jomblo dsini smakin banyak jlnpun dipadati oleh pencari cinta jdi macet total.""",Ya,,perhubungan,kemacetan ,-,-
6.91E+17,"23 Jan 2016, 04:05:26 PM","Pak @ridwankamil ,@Satpolppbdg manusia silver msh berkeliaran ternyata di flyover menuju Pasteur https://t.co/E2ipZu0Lew",Ya,,k3 (ketertiban; kebersihan; keindahan),manusia silver,Sungai daerah Cingised Cisaranten Kulon ,-
6.91E+17,"23 Jan 2016, 04:07:43 PM","RT @MRKFans: Wah Gulajava bikin app baru. Suka lah sama desain app Gulajava :)) RT @GulajavaMini: @ridwankamil punten kang,silahkan cobain É",,Ya,bukan keluhan,bukan keluhan,taman dekat Sabuga,-
6.91E+17,"23 Jan 2016, 04:18:14 PM","RT @DiaZKillaZ: Pak @ridwankamil ,@Satpolppbdg manusia silver msh berkeliaran ternyata di flyover menuju Pasteur https://t.co/E2ipZu0Lew",Ya,,k3 (ketertiban; kebersihan; keindahan),manusia silver,Resto Karnivor,-
6.91E+17,"23 Jan 2016, 04:19:05 PM",RT @IWGinting: Arti pemasangan water barrier ini di alun2 adalah DILARANG PARKIR. Ayo ditaati @ridwankamil @PRFMnews @relawan_bdg https://tÉ,,Ya,bukan keluhan,bukan keluhan,Gegerkalong Tengah ,enam bulan 
6.91E+17,"23 Jan 2016, 04:21:51 PM",Amri | Mobil parkir sepanjang jl. Veteran Sekira pkl 15.55 wib tidak ada tindakan hadeuh. @ridwankamil @IWGinting https://t.co/Q8n5NUiYBH,Ya,,perhubungan,parkir sembarangan,-,-
6.91E+17,"23 Jan 2016, 04:23:10 PM","Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https://t.co/RJv5b5RGUv",Ya,,bidang lainnya,bidang lainnya,-,-
6.91E+17,"23 Jan 2016, 04:37:32 PM","RT @ridwankamil: Barudak bandung nu sok mabal sakola, siap2 ditewak @Satpolppbdg . Omat! https://t.co/SnQoSK9sMQ",,Ya,bukan keluhan,bukan keluhan,di dalam angkot,-
6.91E+17,"23 Jan 2016, 04:38:15 PM",RT @PRFMnews: Amri | Mobil parkir sepanjang jl. Veteran Sekira pkl 15.55 wib tidak ada tindakan hadeuh. @ridwankamil @IWGinting https://t.cÉ,Ya,,perhubungan,parkir sembarangan,Jalan Braga,-
6.91E+17,"23 Jan 2016, 04:50:38 PM",@MojangPolppBDG @ridwankamil @Satpolppbdg Pengamen di pasir koja terminal bayangan suka minta maksa klo ga dikasih. https://t.co/MsQgemfOCe,Ya,,k3 (ketertiban; kebersihan; keindahan),pengamen,Jalan PHH. Mustofa,-
6.91E+17,"23 Jan 2016, 04:51:08 PM","RT @MojangPolppBDG: Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https:/É",Ya,,bidang lainnya,bidang lainnya,Kel. Neglasari Cibeunying Kaler RT. 04/04,enam bulan 
6.91E+17,"23 Jan 2016, 04:57:51 PM","RT @MojangPolppBDG: Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https:/É",Ya,,bidang lainnya,bidang lainnya,-,-
6.91E+17,"23 Jan 2016, 05:17:34 PM",Lampu PJU Jl. Setiabudhi (Sebrang Alfamart) mau di ganti sama lampu PJU yg baru? @dbmpkotabdg,,Ya,bukan keluhan,bukan keluhan,di dalam angkot,-
6.91E+17,"23 Jan 2016, 05:27:48 PM",Gustiiiii sampe dinaekin ke trotoar biar ga kena macet ?? cc: @infobdg @ridwankamil https://t.co/bJ0DPlMf2U,Ya,,perhubungan,motor naik trotoar,Dayangsumbi Tamansari ,-
6.91E+17,"23 Jan 2016, 06:34:55 PM","RT @MojangPolppBDG: Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https:/É",Ya,,bidang lainnya,bidang lainnya,Situsaeur,-
6.91E+17,"23 Jan 2016, 06:40:13 PM","pa punteun, tukang parkir di jalan dwisartika depan parahyanganteu saropan pa, ngabereskeun motor pasedek2 parkir minta 5000 @ridwankamil",Ya,,perhubungan,tarif / retribusi parkir,-,-
6.91E+17,"23 Jan 2016, 06:49:56 PM","@dishub_kotabdg tempat bayar parkir motor di pvj tidak manusiawi, pas tanjakan, macet &amp; disatukan dg mobil cc @ridwankamil @relawan_bdg",Ya,,"perhubungan, perhubungan","sarana parkir, kemacetan",-,-
6.91E+17,"23 Jan 2016, 06:50:56 PM","RT @MojangPolppBDG: Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https:/É",Ya,,bidang lainnya,bidang lainnya,-,-
6.91E+17,"23 Jan 2016, 06:54:52 PM","RT @MojangPolppBDG: Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https:/É",Ya,,bidang lainnya,bidang lainnya,-,-
6.91E+17,"23 Jan 2016, 06:55:43 PM","RT @MojangPolppBDG: Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https:/É",Ya,,bidang lainnya,bidang lainnya,Taman Lansia ,-
6.91E+17,"23 Jan 2016, 07:00:46 PM","Pengen gitu punya pacar anak Bandung. Tapi kuliahnya takut terganggu. Nanti aja deh,kalo udah berhasil? Baru ke Bandung lagi @ridwankamil",,Ya,bukan keluhan,bukan keluhan,Jalan Desa 03/03,-
6.91E+17,"23 Jan 2016, 07:16:57 PM","RT @MojangPolppBDG: Dicari anak hilang,bernama Azhar,tidak memakai kaca mata,murid SMK 7.Mohon bantuan cc:@ridwankamil @Satpolppbdg https:/É",Ya,,bidang lainnya,bidang lainnya,Pasteur,-
6.91E+17,"23 Jan 2016, 07:25:16 PM","Mohon kiranya dapat diberikan penerangan jalan umum di jalan kembar 2 kel.cigelereng,kec.regol karena sangat rawan pencurian @ridwankamil",Ya,,kriminalitas,pencurian / perampokkan,-,-
6.91E+17,"23 Jan 2016, 07:48:01 PM","@pdamtirtawening Air kotor/keruh sdh 1mgg+,tolong sgr diperiksa &amp; ditangani [no.langganan 00702700520] @ridwankamil https://t.co/7YypvL9AkE",Ya,,pengelolaan air & sumber daya alam,air keruh / bau,-,-
6.91E+17,"23 Jan 2016, 07:55:48 PM",RT @RinaldiRamdani: @ridwankamil @Satpolppbdg kang punten tolong ditertibkan silver man di perempatan pasteur sukajadi..banyak bgt.. https:É,Ya,,k3 (ketertiban; kebersihan; keindahan),manusia silver,-,-
6.91E+17,"23 Jan 2016, 08:06:44 PM","RT @Satpolppbdg: Tega kah buang sampah di tempat2 ini? Biasakan ngota"" dgn ga buang sampah sembarangan cc @ridwankamil @PRFMnews https://tÉ""",,Ya,bukan keluhan,bukan keluhan,di dalam angkot,-
6.91E+17,"23 Jan 2016, 08:06:54 PM",RT @Satpolppbdg: Pengemis pura2 buntung ditertibkan mlm ini 21/1/16. Masih mau ngasih? cc @ridwankamil @DiskominfoBdg @PemkotBandung https:É,,Ya,bukan keluhan,bukan keluhan,parkiran bandara,-
6.91E+17,"23 Jan 2016, 08:08:15 PM","@pdamtirtawening air pipa di gang pepaya rt 09 rw 01 sukapura kiaracondong bocor, mhon u/ d cek",Ya,,pengelolaan air & sumber daya alam,pipa bocor,Jalan Gunung Batu - Jalan Karya,-
6.91E+17,"23 Jan 2016, 08:26:49 PM","@Satpolppbdg @ridwankamil @infobandung @PRFMnews Wajah Bandung Juara, hak pejalan kaki ditutup PKL dimana Pemda ? https://t.co/7LgTdRhImf",Ya,,k3 (ketertiban; kebersihan; keindahan),pkl,Jalan Supratman ,-
